UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
mg/dL/h,CONCENTRATION PER TIME,Y,Y,Y,Y,N,,N,N,1,0,,,mg/dL/h,37,mg/dL/h,N,N,N,N,N,N,Y,Y,
nmol/h,MASS FLOW RATE,Y,Y,N,N,N,,N,N,60000000,0,,,"A unit of substance flow rate equal to one nanomole per hour.(NCI)

[dose subset]",1,,N,N,Y,N,N,N,Y,Y,
mL/h/kg,RELATIVE FLOW RATE,Y,Y,Y,Y,N,,N,N,1,0,,,mL/h/kg,1730,mL/h/kg,N,N,N,N,N,N,Y,Y,
min*mmol/L,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,Y,N,1666667,0,,,Minutes times millimoles per liter (area under the curve).,100,min.mmol/L,N,N,N,N,N,N,Y,Y,
pH,ACIDITY,N,N,Y,N,N,,N,N,1,,,,"CDISC code: C45997
CDISC submission value: pH
CDISC synonym: pH
CDISC Description: A measure of the acidity or alkalinity of a fluid on a scale of 0 to 14.(NCI)
NCI preferred term: pH",1,[pH],N,N,N,N,N,N,Y,Y,
h*ug/mL,TIME TIMES CONCENTRATION,Y,N,N,Y,N,,N,N,1000000,0,,,"Hours times micrograms (area under the curve), divided by mililiter",100,h.ug/mL,N,N,N,N,N,N,Y,Y,
dB/m,DECIBEL PER LENGTH,N,Y,Y,Y,N,dB/m,N,N,1,0,,,Sponsor Defined: dB/m - decilbel per meter,40,0,N,N,N,N,N,N,Y,Y,
g/week,DOSE UNIT PER TIME,N,Y,N,N,N,g/week,N,N,1,0,,,"Gram per week, e.g. gram of alcohol/week. This is more precise than Units of alcohol per week

[dose subset]",1,g/wk,N,N,Y,N,N,N,Y,Y,
nM*min,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,min*nmol/L,Y,N,1667,0,,,"NOTE: PLEASE AVOID ATTACHING THIS UNIT TO ANY TOPIC CODE

CDISC code: C85735
CDISC submission value: min*nmol/L",35,min.nmol/L,N,N,N,N,N,N,Y,Y,
kJ/kg,ENERGY,N,Y,N,Y,N,,N,N,1,0,,,Kilo Joule pr kg,50,kJ/kg,N,N,N,N,N,N,Y,Y,
day*ug/mL,TIME TIMES CONCENTRATION,Y,Y,N,Y,N,,N,N,24000000,0,,,"Days times micrograms per milliliter (area under the curve).
CDISC code: C85586
CDISC submission value: day*ug/mL
CDISC synonym(s):
CDISC definition: Days times micrograms per milliliter (area under the curve).
NCI preferred term: Day Times Microgram per Milliliter

",2001,d.ug/mL,N,N,N,N,N,N,Y,Y,
mmol/L^2,CONCENTRATION,N,Y,N,N,N,,Y,N,1,0,,,"CDISC not found: Sponser defined. 
Unit mmol/L have CDISC code: C64387
",35,mmol/L2,N,N,N,N,N,N,Y,Y,
pmol/kg,MASS FRACTION,Y,Y,N,Y,N,,Y,N,0.000000001,0,,,"Picomoles pr kilogram
",35,pmol/kg,N,N,N,N,N,N,Y,Y,
U/hr,DOSE UNIT PER TIME,Y,Y,N,N,N,,N,N,168,0,,,"U/hr - Insulin pump delivery rate (do not use)
CDISC not found 

",40,U/h,N,N,N,N,N,N,Y,Y,
Osm/kg,OSMOLALITY,Y,Y,Y,N,N,,N,N,1,0,,,"osmoles per kilogram
",115,osm/kg,N,N,N,N,N,N,Y,Y,
dpm/umol,VOLUMETRIC RADIOACTIVITY,N,Y,N,N,N,,N,N,1,0,,,"CDISC not found: 
Sponser defined. 
Disintegration per Minute per Milliliter",2150,0,N,N,N,N,N,N,Y,Y,
ugEq/mL,CONCENTRATION,Y,Y,N,N,N,,Y,N,1,0,,,"Sponsor defined: ugEq/mL, Microgram Equivalent per Milliliter
",35,0,N,N,N,N,N,N,Y,Y,
