UNIT,UNIT_DIMENSION,CONVERTIBLE_UNIT,DISPLAY_UNIT,MASTER_UNIT,SI_UNIT,US_CONVENTIONAL_UNIT,SPDEF_SUBMVAL,USE_MOLECULAR_WEIGHT,USE_COMPLEX_UNIT_CONVERSION,CONVERTION_FACTOR_TO_MASTER,CT_SUBMVAL,CT_SUBMVAL_2,CT_CD,description,CD_VAL_SORT_SEQ,UCUM name,AGE_UNIT_SUBSET,STUDY_TIME_UNIT_SUBSET,DOSE_UNIT_SUBSET,TIME_UNIT_SUBSET,STRENGTH_UNIT_SUBSET,STUDY_PREFERRED_TIME_UNIT,ENDPOINT_UNITS_SUBSET,Migrate Y/N,Comment
MBq,RADIOACTIVITY,Y,Y,N,Y,N,,N,N,1000000,MBq,,C70512,"CDISC code: C70512
CDISC submission value: MBq
CDISC synonym(s):  Megabecquerel
CDISC definition: A unit of radioactivity equal to one million nuclear disintegrations or other nuclear transformations per second, or to 10E6 Becquerels.(NCI)
NCI preferred term: Megabecquerel
",1720,MBq,N,N,N,N,N,N,Y,Y,
BU/mL,INHIBITOR ACTIVITY,N,Y,N,N,N,,N,N,1,BU/mL,,C117967,"CDISC code: C117967
CDISC submission value: BU/mL
CDISC synonym(s): Bethesda unit per Milliliter
CDISC definition: A unit of measurement for blood coagulation inhibitor activity,expressed as a Bethesda Unit per unit of volume equal to one milliliter.
NCI preferred term: Bethesda unit per Milliliter",90,[beth'U]/mL,N,N,N,N,N,N,Y,Y,
IU/L,U_IU Concentration,Y,Y,N,N,N,,N,N,1,IU/L,,C67376,"CDISC code: C67376
CDISC submission value: IU/L
CDISC synonym: International Unit per Liter; IU/L; mIU/mL
CDISC Description: Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one liter of system volume.(NCI)
NCI preferred term: International Unit per Liter

[strength subset]
",2000,m[IU]/mL,N,N,N,N,Y,N,Y,Y,
ugEq/L,CONCENTRATION,N,Y,N,N,N,,Y,N,0.000001,ugEq/L,,C122230,"A concentration unit measured as the number of microgram equivalents of solute per liter of solution, or as the number of nanogram equivalents of solute per milliliter of solution.",1,ug.eq/l,N,N,N,N,N,N,Y,Y,
CAN,DOSE UNIT,N,Y,N,N,N,,N,N,1,CAN,,C48479,"A dosing measurement based on the can unit.(NCI)

[dose subset]",1,{CAN},N,N,Y,N,N,N,Y,Y,
nmol/L,CONCENTRATION,Y,Y,N,Y,Y,,Y,N,0.000000001,nmol/L,,C67432,"CDISC code: C67432
CDISC submission value: nmol/L
CDISC synonym: Nanomole per Liter
CDISC Description: A unit of concentration (molarity unit) equal to one billionth of a mole (10E-9 mole) of solute in one liter of solution.(NCI)
NCI preferred term: Nanomole per Liter

[strength subset]
",35,nmol/L,N,N,N,N,Y,N,Y,Y,
L/min,FLOW,Y,Y,N,Y,N,,N,N,60000,L/min,,C67388,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C67388
CDISC submission value: L/min
CDISC synonym: Liters per Minute
CDISC Description: A unit of volumetric flow rate defined as the rate at which one liter of matter travels during the period of time equal to one minute.(NCI)
NCI preferred term: Liter per Minute
",60,L/min,N,N,N,N,N,N,Y,Y,
MET*min,ENERGY EXPENDITURE,N,Y,N,N,N,,N,N,1,MET*min,,C127807,A unit of energy expenditure equal to the number of metabolic equivalent of task units times the number of minutes of performed activity.,1,[MET].min,N,N,N,N,N,N,Y,Y,
mL/min/SSA,VOLUMETRIC FLOW RATE,Y,Y,Y,N,N,,N,N,1,mL/min/1.73 m2,,C67412,"CDISC code: C67412
CDISC submission value: mL/min/1.73m2
CDISC synonym: 
CDISC Description: A metric unit of volumetric flow rate defined as the rate at which one milliliter of matter travels during the period of time equal to one minute per 1.73 meters squared of body surface area.
NCI preferred term: Milliliter per Minute per 1.73 m2 of Body Surface Area",2140,mL/min/(173/100).m2,N,N,N,N,N,N,Y,Y,
uCi/mL,VOLUMETRIC RADIOACTIVITY,Y,Y,N,Y,N,,N,N,37000,mCi/L,,C71174,"CDISC code: Sponsor defined. uCi/mL, Microcurie per milliLiter
Closest CDISC term is C71173 (uCi/L) with definition:
A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one millionth of a Curie per unit volume equal to one milliliter.

According to Wikipedia 1uCi = 37000 Bq",2150,mCi/l,N,N,N,N,N,N,Y,Y,
mm3,VOLUME,Y,Y,N,Y,N,,N,N,0.000001,uL,,C48153,Cubic millimeters. Synonym is uL.,1,uL,N,N,N,N,N,N,Y,Y,
mmol/24h,MASS FLOW RATE,Y,Y,N,Y,N,,Y,N,69444,mmol/day,,C67420,"A unit of substance flow rate equal to one millimole per day.

",1,mmol/d,N,N,N,N,N,N,Y,Y,
mL/m^2,VOLUME PER AREA,Y,Y,Y,Y,N,,N,N,1,mL/m2,,C73761,Milliliters (volume) divided by meters squared (surface area),2250,mL/m2,N,N,N,N,N,N,Y,Y,
g/mmol,CONCENTRATION,N,Y,N,Y,N,,Y,N,1,kg/mol,,C122210,A unit of mass commonly used to express the molar mass of a substance in gram(s) per millimole.,1,kg/mol,N,N,N,N,N,N,Y,Y,
ng/mL/h,CONCENTRATION PER TIME,Y,Y,N,Y,N,,N,N,1,ug/L/h,,C122229,"CDISC code: C67430
CDISC submission value: ng/mL/h
CDISC synonym(s): ng/h/mL; ng/mL/h; ug/L/h
CDISC definition: Nanograms per milliliter per hour.
NCI preferred term: Nanogram per Milliliter per Hour""
",36,ug/l/h,N,N,N,N,N,N,Y,Y,
mL/g/min,RELATIVE FLOW RATE,Y,Y,N,Y,N,,N,N,60000,mL/g/min,,C73757,"Milliliters per gram per minute or liters per minute (flow rate), divided by kilograms (weight) or milliliters per minute (flow rate), divided by grams (weight).",1,ml/g/min,N,N,N,N,N,N,Y,Y,
nmol/mol,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,nmol/mol,,C122220,"A unit of fraction expressed as the ratio of the amount of a substance in solution, in nanomoles, to the amount of a different substance in the mixture, in moles.",1,nmol/mol,N,N,N,N,N,N,Y,Y,
/LPF,MICROSCOPE DEPENDENT COUNTS,N,Y,N,N,N,,N,N,1,/LPF,,C96620,"CDISC code: C96620
CDISC submission value: /LPF
CDISC synonym(s): per Low Powered Field
CDISC definition: A unit of measure equal to the instances of an entity per visual field of a microscope set to its minimum magnification power.
NCI preferred term: Per Low Powered Field",136,/[LPF],N,N,N,N,N,N,Y,Y,
cal,ENERGY,Y,Y,N,N,N,,N,N,4186,cal,,C67193,"CDISC code: C67193
CDISC submission value: cal
CDISC synonym: Calorie
CDISC Description: A measurement of nutritional energy. The quantity of thermal energy required to raise one gram of water one degree Centigrade under standard conditions. 1 calorie equals 4.186 joules. (NCI)
NCI preferred term: calorie",50,cal,N,N,N,N,N,N,Y,Y,
mcg/g,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,mg/kg,,C67401,"Micrograms per gram.

In its current use NN defines mcg=ug as confirmed by CHHE. But UCUM defines it as mcg/g=millicentigram/gram. There is a factor 10 difference. This means that mcg/g is defined as and linked to mg/kg (ug/g). ",1,mg/kg,N,N,N,N,N,N,Y,Y,
CAPSULE,DOSE UNIT,N,Y,N,N,N,,N,N,1,CAPSULE,,C48480,"A dosing measurement based on the capsule unit.(NCI)

[dose subset]",1,{Capsule},N,N,Y,N,N,N,Y,Y,
J/s,ENERGY EXPENDITURE,Y,Y,Y,Y,N,,N,N,1,Watt,,C42549,"CDISC not found, J/sec where 
J=Joule, where Joule is defined as m2 x kg x s^(-2) and sec=seconds

",55,W,N,N,N,N,N,N,Y,Y,
kPa,PRESSURE,Y,Y,N,Y,N,,N,N,1000,kPa,,C67284,"CDISC code: C67284
CDISC submission value: kPa
CDISC synonym(s): Kilopascal
CDISC definition: A SI derived unit of pressure equivalent to 1000 newtons per square meter or 10000 bars or to 0.145 pound per square inch. (NCI)
NCI preferred term: Kilopascal",1550,kPa,N,N,N,N,N,N,Y,Y,
mL/kg/day,RELATIVE FLOW RATE,Y,Y,N,Y,N,,N,N,416,mL/kg/day,,C73758,"Milliliters per kilogram per day or milliliters per day (flow rate), divided by kilograms (weight).",1,mL/kg/d,N,N,N,N,N,N,Y,Y,
day,TIME,Y,Y,N,Y,N,,N,N,86400,DAYS,,C25301,"CDISC code: C25301
CDISC submission value: DAYS
CDISC synonym: Day
CDISC Description: The time for Earth to make a complete rotation on its axis; ordinarily divided into twenty-four hours. This also refers to a specific day. 
NCI preferred term: Day

[age subset]
[study time subset]
[time subset]",1950,d,Y,Y,N,Y,N,Y,Y,Y,
STEPS,COUNT,N,Y,N,N,N,,N,N,1,STEPS,,C111318,A unit of measure to quantify the number of strides taken during a normal walking gait.,39,{STEP},N,N,N,N,N,N,Y,Y,
mg/kg,MASS FRACTION,Y,Y,Y,Y,N,,N,N,1,mg/kg,,C67401,"CDISC code: C67401
CDISC submission value: mg/kg
CDISC synonym: Milligram per Kilogram
CDISC Description: A unit of a mass fraction expressed as a number of milligrams of substance per kilogram of mixture. The unit is also used as a dose calculation unit.(NCI)
NCI preferred term: Milligram per Kilogram

[strength subset]
",130,mg/kg,N,N,N,N,Y,N,Y,Y,
SPRAY,DOSE UNIT,N,Y,N,N,N,,N,N,1,SPRAY,,C48537,"A dosing measurement based on the spray unit.(NCI)

[dose subset]",1,{SPRAY},N,N,Y,N,N,N,Y,Y,
g/kg,MASS FRACTION,Y,Y,N,Y,N,,N,N,1000,g/kg,,C69104,"CDISC code: C69104
CDISC submission value: g/kg
CDISC synonym(s): Gram per Kilogram; Milligram per Gram; mg/g
CDISC definition: A unit of a mass fraction expressed as a number of grams of substance per kilogram of mixture. The unit is also used as a dose calculation unit.(NCI)
NCI preferred term: Gram per Kilogram",120,ug/mg,N,N,N,N,N,N,Y,Y,
umol/L/min,CONCENTRATION PER TIME,Y,Y,N,Y,N,,Y,N,6,umol/L/min,,C120852,A concentration unit equal to one micromole of solute in one liter of solution per unit of time equal to one minute.,37,umol/L/min,N,N,N,N,N,N,Y,Y,
uIU/L,U_IU Concentration,Y,Y,N,N,N,,N,N,0.000001,uIU/L,,C124464,"CDISC code: C124464
CDISC submission value: uIU/L
CDISC synonym(s): 
CDISC definition:A unit of concentration (biologic activity) equal to one micro-international unit of substance per liter of solution.
NCI preferred term: Micro-International Unit per Liter

[strength subset]


",2000,u[IU]/L,N,N,N,N,Y,N,Y,Y,
mg/g,MASS FRACTION,Y,Y,N,Y,Y,,N,N,1000,g/kg,,C69104,"CDISC not found
",131,ug/mg,N,N,N,N,N,N,Y,Y,
IU/Kg,RELATIVE DOSE UNIT,Y,Y,N,N,N,,N,N,1,IU/kg,,C67379,"IU/kg, international Units per Kilogram to be used for derived topic codes on dosing 
",1720,[IU]/kg,N,N,N,N,N,N,Y,Y,
mol/g,RELATIVE WEIGHT,Y,Y,Y,Y,N,,Y,N,1,mol/g,,C68893,"CDISC code: C68893
CDISC submission value: mol/g
CDISC synonym(s): Mole per Gram
CDISC definition: A unit of amount of substance content (molality unit) defined as one mole of solute per one gram of solvent.(NCI) 
NCI preferred term: Mole per Gram",1750,mol/g,N,N,N,N,N,N,Y,Y,
mcU/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1,mU/L,,C67408,"mcU/mL : microunits / mililiter
CDISC not found
",2000,uU/mL,N,N,N,N,N,N,Y,Y,
10^3/uL,CELL COUNT,Y,Y,N,Y,Y,,N,N,1,10^9/L,,C67255,"Equal to 10^9/L
CDISC:Not Found",30,10*9/L,N,N,N,N,N,N,Y,Y,
beats/min,BEAT RATE,Y,Y,Y,N,N,,N,N,1,beats/min,,C49673,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C49673
CDISC submission value: BEATS/MIN
CDISC synonym: Beats per Minute
CDISC Description: The number of heartbeats measured per minute time. (NCI)
NCI preferred term: Beats per Minute
",20,{beats}/min,N,N,N,N,N,N,Y,Y,
kU/L,U_IU Concentration,Y,Y,N,N,N,,N,N,1000,IU/mL,,C67377,"KU/L is equivalent to
CDISC code: C67377
CDISC submission value: IU/mL
CDISC synonym(s): IE/mL; International Unit per Milliliter; Kilo International Unit per Liter; kIU/L
CDISC definition: A unit of concentration (biologic activity) equal to one international unit of substance per milliliter of solution.
NCI preferred term: International Unit per Milliliter""
",2000,[IU]/mL,N,N,N,N,N,N,Y,Y,
10^6/mm^3,CELL COUNT,Y,Y,N,Y,N,,N,N,1000,10^12/L,,C67308,"Submission Value: 10^12/L	
Synonyms: 1/pL; 10^6/mm3; 10^6/uL; T/L; TI/L; Tera/L
A unit of measurement equal to 10 to the twelfth power of the number of entities per unit of volume equal to one liter.
",30,10*12/L,N,N,N,N,N,N,Y,Y,
m/sec,VELOCITY,Y,Y,N,Y,N,,N,N,1,m/s,,C42571,"A unit of both speed (scalar) and velocity (vector), defined as the distance of one meter travelled per unit time equal to one second.(NCI)",1,m/s,N,N,N,N,N,N,Y,Y,
ng/mL,CONCENTRATION,Y,Y,N,Y,Y,,N,N,0.000001,ug/L,,C67306,"ng/mL : nanogram / milliliter is a CDISC synonym for ug/L
A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one liter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one microgram occupies the volume one liter.(NCI)",35,ng/mL,N,N,N,N,N,N,Y,Y,
10^12/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1000,10^12/L,,C67308,"CDISC code: C67308
CDISC submission value: 10^12/L
CDISC synonym: 10^6/uL
CDISC Description: A unit of measurement equal to 10 to the twelfth power of the number of entities per unit of volume equal to one liter.
NCI preferred term: Million per Microliter",30,10*12/L,N,N,N,N,N,N,Y,Y,
1/mm^3,CELL COUNT,Y,Y,N,Y,Y,,N,N,1,10^6/L,,C67452,"1/mm^3. mm^3 = 10^-6L
CDISC:Not Found",30,10*6/L,N,N,N,N,N,N,Y,Y,
IU/dL,U_IU Concentration,Y,Y,N,N,N,,N,N,10,IU/dL,,C120848,"CDISC code: C120848
Codelist Code: C71620
Codelist Name: Unit
CDISC Submission Value: IU/dL
CDISC Definition: Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one deciliter of system volume.
NCI Preferred Term: International Unit per Deciliter",1,[IU]/dL,N,N,N,N,N,N,Y,Y,
pg/mL,CONCENTRATION,Y,Y,N,Y,Y,,N,N,0.000000001,ng/L,,C67327,"pg/mL : picogram / milliliter
CDISC not found",35,pg/mL,N,N,N,N,N,N,Y,Y,
Pa,PRESSURE,Y,Y,Y,Y,N,,N,N,1,Pa,,C42547,"CDISC code: C42547
CDISC submission value: Pa
CDISC synonym: Pascal
CDISC Description: A unit of pressure equivalent to one Newton per square meter or 10 bars or to 1.45x10(E-4) pounds per square inch.(NCI)
NCI preferred term: Pascal",1550,Pa,N,N,N,N,N,N,Y,Y,
Counts/min,COUNT PER TIME,Y,Y,N,N,N,,N,N,60,cpm,,C73688,Counts per minute,39,{counts}/min,N,N,N,N,N,N,Y,Y,
nmol/L/min,CONCENTRATION PER TIME,Y,Y,N,Y,N,,N,N,0.000006,nmol/L/min,,C122219,A rate unit equal to the number of nanomoles per unit of volume equal to one liter per unit of time equal to one minute.,1,nmol/l/min,N,N,N,N,N,N,Y,Y,
ratio,PERCENTAGE,Y,Y,N,N,Y,,N,N,100,RATIO,,C44256,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU"" CodeSubmValue=""RATIO""></CodeList>
</CodeLists>
CDISC code: C44256
CDISC submission value: RATIO
CDISC synonym: 
CDISC Description: A unit of measurement for the quotient of the amount of one entity to another.
NCI preferred term: ratio
",1520,{Ratio},N,N,N,N,N,N,Y,Y,
Week,TIME,Y,Y,N,N,N,,N,N,604800,WEEKS,,C29844,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""AGEU""></CodeList>
</CodeLists>
CDISC code: C29844
CDISC submission value: WEEKS
CDISC synonym: Week
CDISC Description: Any period of seven consecutive days. (NCI)
NCI preferred term: Week",1950,wk,N,N,N,N,N,N,Y,Y,
mol/L,CONCENTRATION,Y,Y,Y,Y,N,,Y,N,1,mol/L,,C48555,"CDISC code: C48555
CDISC submission value: mol/L
CDISC synonym: Mole per Liter; mol/L; mmol/mL
CDISC Description: A unit of concentration (molarity unit) equal to one mole of solute in one liter of solution.(NCI)
NCI preferred term: Mole per Liter",35,mol/L,N,N,N,N,N,N,Y,Y,
Joule,ENERGY,Y,Y,N,Y,N,,N,N,1,Joule,,C42548,"A unit of electrical, mechanical, and thermal energy (as well as work and quantity of heat), equal to the work done when the point of application of a force of one Newton is displaced through a distance of one meter in the direction of the force or the work done when a current of one Ampere passes through a resistance of one ohm for one second. One joule is equal to 0.23889 gram-calorie (mean).(NCI)",1,J,N,N,N,N,N,N,Y,Y,
mL/kg,RELATIVE VOLUME,Y,Y,Y,Y,N,,N,N,1,mL/kg,,C67411,"CDISC code: C67411
CDISC submission value: mL/kg
CDISC synonym: Milliliter per Kilogram
CDISC Description: A dose calculation unit equal to one milliliter of preparation per one kilogram of body mass. (NCI)
NCI preferred term: mL/kg",1740,mL/kg,N,N,N,N,N,N,Y,Y,
DROP,DOSE UNIT,N,Y,N,N,N,,N,N,1,DROP,,C69441,"A unit of measure of volume defined as the amount of liquid dispensed as one drop from a dropper dispenser. The volume of a drop depends on the physical properties of the liquid dispensed, the dispenser device, and the technique used to produce the drop.(NCI)

[dose subset]",1,{DROP},N,N,Y,N,N,N,Y,Y,
kBq/uL,VOLUMETRIC RADIOACTIVITY,Y,Y,N,N,N,,N,N,1000000,kBq/uL,,C71168,"A unit of volumetric radioactivity concentration defined as a concentration of a radionuclide with an activity equal to one thousand Becquerels per unit volume equal to one millionth of a liter.(NCI)

[dose subset]",1,kBq/uL,N,N,Y,N,N,N,Y,Y,
g,WEIGHT,Y,Y,N,Y,N,,N,N,1,g,,C48155,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C48155
CDISC submission value: g
CDISC synonym: Gram
CDISC Description: A metric unit of mass equal to one one thousandth of a kilogram. (NCI)
NCI preferred term: Gram

[dose subset]
[strength subset]
",2200,g,N,N,Y,N,Y,N,Y,Y,
%,PERCENTAGE,Y,Y,Y,Y,Y,,N,N,1,%,,C25613,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C25613
CDISC submission value: %
CDISC synonym: Percentage
CDISC Description: A fraction or ratio with 100 understood as the denominator. (NCI)
NCI preferred term: Percentage
",1520,%,N,N,N,N,N,N,Y,Y,
mg/day,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,mg/day,,C67399,"unit for measurement of 24-hour quantitatively collected urine.
CDISC code: C67399
CDISC submission value: mg/day
CDISC synonym(s):  Milligram per Day
CDISC definition: A unit of measure referring to the ratio between mass expressed in milligrams per day.(NCI)
NCI preferred term: Milligram per 24 Hours

[dose subset]",120,mg/d,N,N,Y,N,N,N,Y,Y,
L/L,PERCENTAGE,Y,Y,N,N,N,,N,N,100,L/L,,C105495,"CDISC code: C105495
CDISC submission value: L/L
CDISC synonym: Liter per Liter; mL/mL; uL/uL; dL/dL
CDISC Description: A unit of volume concentration equal to the number of liters per unit of volume equal to one liter.
NCI preferred term: Liter Per Liter",1520,L/L,N,N,N,N,N,N,Y,Y,
mm,LENGTH,Y,Y,N,Y,N,,N,N,1,mm,,C28251,"CDISC code: C28251
CDISC submission value: mm
CDISC synonym: Millimeter
CDISC Description: A unit of measure equal to one thousandth of a meter. (NCI)
NCI preferred term: Millimeter",120,mm,N,N,N,N,N,N,Y,Y,
pmol/g,RELATIVE WEIGHT,Y,Y,N,Y,N,,N,N,1E-12,pmol/g,,C85754,"Nanomoles (amount), divided by kilograms (weight) or picomoles per gram.",1,pmol/g,N,N,N,N,N,N,Y,Y,
mg,WEIGHT,Y,Y,N,Y,N,,N,N,0.000001,mg,,C28253,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C28253
CDISC submission value: mg
CDISC synonym: Milligram
CDISC Description: The unit of mass equal to one thousandth of a gram or 1000 micrograms. One milligram equals approximately 0.015432 grain or 35.274 x 10E-6 ounce.(NCI)
NCI preferred term: Milligram

[dose subset]
[strength subset]
",2200,mg,N,N,Y,N,Y,N,Y,Y,
pg/ug,MASS FRACTION,Y,Y,N,Y,N,,N,N,1,mg/kg,,C67401,-,129,mg/kg,N,N,N,N,N,N,Y,Y,
10^2/uL,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^8/L,,C105489,"A unit of measurement equal to 10 to the eighth power of entities per unit of volume equal to one liter.

CDISC code: 10^8/L
CDISC synonym: 10^2/uL",30,10^8/l,N,N,N,N,N,N,Y,Y,
breaths/min,RESPIRATORY RATE,Y,Y,Y,N,N,,N,N,1,breaths/min,,C49674,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C49674
CDISC submission value: BREATHS/MIN
CDISC synonym: Breaths per Minute
CDISC Description: The number of breaths (inhalation and exhalation) taken per minute time. (NCI)
NCI preferred term: Breaths per Minute",1760,{breaths}/min,N,N,N,N,N,N,Y,Y,
/PL,CELL COUNT,Y,Y,N,N,N,,N,N,1000,10^12/L,,C67308,"equal to 10^12/L
No CDISC standard for submission value or definition exist",30,10*12/L,N,N,N,N,N,N,Y,Y,
mL/min,FLOW,Y,Y,N,Y,N,,N,N,60,mL/min,,C64777,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""PKUNIT""></CodeList>
</CodeLists>
CDISC code: C64777
CDISC submission value: mL/min
CDISC synonym: Milliliters per Minute
CDISC Description: A metric unit of volumetric flow rate defined as the rate at which one milliliter of matter travels during the period of time equal to one minute.(NCI)
NCI preferred term: Milliliter per Minute
",60,mL/min,N,N,N,N,N,N,Y,Y,
1/uL,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^6/L,,C67452,"equal to 10^6/L

CDISC submission value: 10^6/L
CDISC synonym: 1/uL",30,10*6/L,N,N,N,N,N,N,Y,Y,
kcal/day,ENERGY EXPENDITURE,Y,Y,N,N,N,,N,N,484,kcal/day,,C139135,A unit of energy equal to one kilocalorie per day. (NCI),1,kcal/d,N,N,N,N,N,N,Y,Y,
cm,LENGTH,Y,Y,N,Y,N,,N,N,1,cm,,C49668,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C49668
CDISC submission value: cm
CDISC synonym: Centimeter
CDISC Description: A basic unit of length equal to one hundredth of a meter or approximately 0.393700787 inch.
NCI preferred term: Centimeter
",120,cm,N,N,N,N,N,N,Y,Y,
g/dL,CONCENTRATION,Y,Y,N,Y,Y,,N,N,10,g/dL,,C64783,"CDISC code: C64783
CDISC submission value: g/dL
CDISC synonym: Gram per Deciliter; g%
CDISC Description: A unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one deciliter (100 milliliters). The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one deciliter.(NCI)
NCI preferred term: Gram per Deciliter",35,g/dL,N,N,N,N,N,N,Y,Y,
/day,ELIMINATION,Y,Y,N,Y,N,,N,N,4166,/day,,C25473,"CDISC code: C25473
CDISC submission value: /day
CDISC synonym: Daily; Per Day
CDISC Description: Occurring or done each day. (NCI)
NCI preferred term: Daily",50,/d,N,N,N,N,N,N,Y,Y,
10^6/L,CELL COUNT,Y,Y,N,Y,N,,N,N,1,10^6/L,,C67452,"10^6 / liter
",30,10*6/L,N,N,N,N,N,N,Y,Y,
g/day,MASS FLOW RATE,Y,Y,N,Y,N,,N,N,6944,g/day,,C67372,"unit for measurement of 24-hour quantitatively collected urine.
CDISC code: C67372
CDISC submission value: g/day
CDISC synonym(s): Gram per Day; g/24h; g/d; gram/24 Hours; gram/day 
CDISC definition: A dose calculation unit expressed in gram(s) per period of time equal to twenty-four hours.
NCI preferred term: Gram per 24 Hours

[dose subset]",120,g/d,N,N,Y,N,N,N,Y,Y,
ng,WEIGHT,Y,Y,N,Y,N,,N,N,1E-12,ng,,C48516,"A unit of mass equal to one billionth (1E-9) of a gram.

[dose subset]",1,ng,N,N,Y,N,N,N,Y,Y,
IU/mL,U_IU Concentration,Y,Y,N,N,N,,N,N,1000,IU/mL,,C67377,"CDISC code: C67377
CDISC submission value: IU/mL
CDISC synonym: International Unit per Milliliter; kIU/L; Kilo International Unit per Liter
CDISC Description: Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one milliliter of system volume.(NCI)
NCI preferred term: International Unit per Milliliter

[strength subset]
",2000,[IU]/mL,N,N,N,N,Y,N,Y,Y,
kg/m2,BMI,Y,Y,N,Y,N,,N,N,1,kg/m2,,C49671,A unit expressed as kilogram of mass per square meter of area.(NCI),1,kg/m2,N,N,N,N,N,N,Y,Y,
in,LENGTH,Y,Y,N,N,Y,,N,N,254,in,,C48500,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>

A traditional unit of length equal to 2.54 centimeters. (NCI)

",120,[in_i],N,N,N,N,N,N,Y,Y,
cpm,COUNT PER TIME,Y,Y,N,N,N,,N,N,60,cpm,,C73688,A unit of frequency expressed as the detection rate of ionization events per minute.,1,{counts}/min,N,N,N,N,N,N,Y,Y,
MPL U/mL,U_IU Concentration,N,Y,N,N,N,,N,N,1,MPL U/mL,,C117973,"A unit for semiquantitative measurement of IgM autoantibodies to proteins associated with negatively charged phospholipids evaluated against an established reference standard, per unit of volume equal to one milliliter.",1,[MPL'U]/mL,N,N,N,N,N,N,Y,Y,
sec,TIME,Y,Y,N,Y,N,,N,N,1,s,,C42535,"The base unit of time in the International System of Units (SI) equal to the duration of 9,192,631,770 periods of the specified light radiation corresponding to the transition between the two hyperfine levels of the cesium 133 atom in its ground state at 0 K.

[time subset]",1950,s,N,N,N,Y,N,N,Y,Y,
ukat/L,U_IU Concentration,Y,Y,N,Y,N,,N,N,5988,ukat/L,,C67397,"CDISC code: C67397
CDISC submission value: ukat/L
CDISC synonym: Microkatal per Liter; mckat/L
CDISC Description: Unit of catalytic activity concentration defined as activity equal to one millionth of katal per one liter of the system volume.(NCI)
NCI preferred term: Microkatal per Liter",2000,ukat/l,N,N,N,N,N,N,Y,Y,
lb,WEIGHT,Y,Y,N,N,Y,,N,N,45359237,LB,,C48531,"<CodeLists>
<CodeList Value=""UNIT""></CodeList>
<CodeList Value=""VSRESU""></CodeList>
</CodeLists>
CDISC code: C48531
CDISC submission value: LB
CDISC synonym: Pound
CDISC Description: A traditional unit of mass. By international agreement, one avoirdupois pound is equal to exactly 0.453 592 37 kilogram, 16 ounces, or 1.215 28 troy pounds. (NCI)
NCI preferred term: Pound
",2200,[lb_av],N,N,N,N,N,N,Y,Y,
/HPF,MICROSCOPE DEPENDENT COUNTS,N,Y,Y,N,N,,N,N,1,/HPF,,C96619,"CDISC code: C96619
CDISC submission value: /HPF
CDISC synonym(s): per High Powered Field
CDISC definition: A unit of measure equal to the instances of an entity per visual field of a microscope set to its maximum magnification power.
NCI preferred term: Per High Powered Field",136,/[HPF],N,N,N,N,N,N,Y,Y,
OD Unit,OPTICAL DENSITY,N,Y,N,N,N,,N,N,1,OD Unit,,C73681,A unit of optical density expressed as the degree of absorption of light at a specified wavelength by a solution or suspension.,1,{OD Unit},N,N,N,N,N,N,Y,Y,
