ACTIVITY_INSTANCE_CLASS,ACTIVITY_ITEM_CLASS,DISPLAY_LABEL,DEFINITION,NCI_C_CODE,SPONSOR_CONCEPT_CODE,LEGACY_CDW_COLUMN,MANDATORY,IS_ADAM_PARAM_SPECIFIC_ENABLED,ADDITIONAL_OPTIONAL_ACTIVITY_ITEM,DEFAULT_LINKED_TO_INSTANCE,ORDER,DATA_COLLECTION,SEMANTIC_ROLE,SEMANTIC_DATA_TYPE,CODELIST
Interventions,portion,Portion,"Anatomical location further detailing distribution. For e.g. ENTIRE, SINGLE, SEGMENT.",C103166,,,No,No,Yes,No,21,Yes,RECOQUAL,CTTERM,PORTOT
Interventions,lot_number,Lot Number,Lot number of treatment,C70848,,,No,No,Yes,No,22,Yes,RECOQUAL,TEXT,
Interventions,fasting_status,Fasting Status,"Indicator used to identify fasting status such as Y, N, U, or null if not relevant.",C93566,,,No,No,Yes,No,23,Yes,RECOQUAL,CTTERM,NY
Interventions,observation_start_datetime,Start Date and Time of Observation,Start date/time of the observation,C82517,,,No,No,Yes,No,24,Yes,TIMING,DATETIME,
Interventions,observation_end_datetime,End Date and Time of Observation,End date/time of the observation,C82516,,,No,No,Yes,No,25,Yes,TIMING,DATETIME,
Interventions,evaluation_interval,Evaluation Interval,Evaluation interval,C82534,,,No,No,Yes,No,26,Yes,TIMING,TEXT,
Interventions,strength,Strength,"Amount of an active ingredient expressed quantitatively per dosage unit, per unit of volume, or per unit of weight, according to the pharmaceutical dose form.",C53294,,,No,No,Yes,No,27,Yes,RECOQUAL,FLOAT,
Interventions,strength_unit,Strength Unit,Unit for strength,C117055,,,No,No,Yes,No,28,Yes,RECOQUAL,CTTERM,UNIT
Interventions,reason_for_dose_ajdustment,Reason for Dose Adjustment,Description of reason or explanation of why a dose is adjusted.,C82555,,,No,No,Yes,No,29,Yes,RECOQUAL,TEXT,
Interventions,continuing,Continuing,Continuing,C53279,,,No,No,Yes,No,30,Yes,RECOQUAL,CTTERM,NY
Interventions,primary_indication,Primary Indication,Primary indication denotes why a medication was taken or administered.,C41184,,,No,No,Yes,No,31,Yes,RECOQUAL,TEXT,
Interventions,prim_indicat_ae_num,Primary Indication AE Number,Adverse event number when primary indication is an adverse event.,C83097,,,No,No,Yes,No,32,Yes,RECOQUAL,FLOAT,
Interventions,prim_indicat_mh_num,Primary Indication MH Number,Medical history sequence number when primary indication is an event from medical history.,C83098,,,No,No,Yes,No,33,Yes,RECOQUAL,FLOAT,
Interventions,other_indication,Other Indication,Other indication as primary indication for concomitant medication,C41184,,,No,No,Yes,No,34,Yes,RECOQUAL,TEXT,
DeviceIdentifiers,serial_number,Serial Number,Serial number,C70710,,,No,No,Yes,No,1,No,IDENTIFIER,FLOAT,
DeviceIdentifiers,device_id_element_short_name,Device ID Element Short Name,"Short name of the identifier characteristic of the device (e.g., ""SERIAL"", ""MODEL"").",C106481,,,No,No,Yes,No,2,Yes,TOPIC,CTTERM,DIPARMCD
DeviceIdentifiers,device_id_element_name,Device ID Element Name,Name of the identifier characteristic of the device.,C106480,,,No,No,Yes,No,3,Yes,SYNOQUAL,CTTERM,DIPARM
DeviceIdentifiers,device_id_element_value,Device ID Element Value,Value for the parameter. ,,,,No,No,Yes,No,4,Yes,RESUQUAL,TEXT,
SubjectVisit,contact_mode,Contact Mode,Contact mode,C188841,,,No,No,Yes,No,1,Yes,RECOQUAL,CTTERM,CNTMODE
SubjectVisit,epi_pandemic_change_indicator,Epi/Pandemic Change Indicator,Epi/Pandemic Related Change Indicator,,,,No,No,Yes,No,2,No,RECOQUAL,CTTERM,NY
SubjectVisit,visit_occurence_reason,Visit Occurrence Reason,Reason for occurrence of visit,,,,No,No,Yes,No,3,Yes,RECOQUAL,TEXT,
SubjectVisit,visit_start_datetime,Start Date and Time of Visit,Start date/time of the visit,C83436,,,No,No,Yes,No,4,Yes,TIMING,DATETIME,
SubjectVisit,visit_end_datetime,End Date and Time of Visit,End date/time of the visit,C83435,,,No,No,Yes,No,5,Yes,TIMING,DATETIME,
SubjectVisit,description_of_unplanned_visit,Description of Unplanned Visit,Description of unplanned visit,C88009,,,No,No,Yes,No,6,Yes,SYNOQUAL,TEXT,
GeneralObservation,diparmcd,Device Parameters,To specify details of auxiliary device for Standard Program (DEVTYPE MANUF MODEL),,,,,No,No,No,No,8,No,VARIQUAL,TEXT,
GeneralObservation,orresu,Original Result Unit,To specify that collected original result unit to be retained in SDTM for non numeric topic codes,,,,,No,No,No,No,9,No,VARIQUAL,TEXT,
GeneralObservation,sf36,SF36 Category,To indicate category of SF36 collected data,,,,,No,No,No,No,10,No,VARIQUAL,TEXT,
GeneralObservation,stdunit,Standard Unit,To specify standard unit for an intervention topic code,,,,,No,No,No,No,11,No,VARIQUAL,TEXT,
GeneralObservation,__bdagnt,Binding Agent,To specify the submission value for --BDAGNT (Binding agent in CP IS LB domains),,,,,No,No,No,No,12,No,VARIQUAL,TEXT,
GeneralObservation,__tstopo,Test Operational Objective,To specify the submission value for --TSTOPO (Test Operational Objective in IS LB),,,,,No,No,No,No,13,No,VARIQUAL,TEXT,
GeneralObservation,__tmthsn,Test Method Sensitivity,To specify the submission value for --TMTHSN (Test method sensitivity in LB),,,,,No,No,No,No,14,No,VARIQUAL,TEXT,
